season,episode,title,year,series,code,EpisodeNum,rating,votes
1,1,Pilot,2008,Breaking Bad,tt0959621,1,9.0,23328.0
1,2,Cat's in the Bag...,2008,Breaking Bad,tt1054724,2,8.7,16775.0
1,3,...And the Bag's in the River,2008,Breaking Bad,tt1054725,3,8.8,16256.0
1,4,Cancer Man,2008,Breaking Bad,tt1054726,4,8.3,15772.0
1,5,Gray Matter,2008,Breaking Bad,tt1054727,5,8.4,15459.0
1,6,Crazy Handful of Nothin',2008,Breaking Bad,tt1054728,6,9.3,17923.0
1,7,A No-Rough-Stuff-Type Deal,2008,Breaking Bad,tt1054729,7,8.9,15756.0
2,1,Seven Thirty-Seven,2009,Breaking Bad,tt1232244,8,8.7,14098.0
2,2,Grilled,2009,Breaking Bad,tt1232249,9,9.3,16446.0
2,3,Bit by a Dead Bee,2009,Breaking Bad,tt1232250,10,8.4,13677.0
2,4,Down,2009,Breaking Bad,tt1232251,11,8.3,13820.0
2,5,Breakage,2009,Breaking Bad,tt1232252,12,8.4,13401.0
2,6,Peekaboo,2009,Breaking Bad,tt1232253,13,8.9,14826.0
2,7,Negro Y Azul,2009,Breaking Bad,tt1232254,14,8.7,13351.0
2,8,Better Call Saul,2009,Breaking Bad,tt1232255,15,9.2,15744.0
2,9,4 Days Out,2009,Breaking Bad,tt1232256,16,9.1,15293.0
2,10,Over,2009,Breaking Bad,tt1232245,17,8.6,13089.0
2,11,Mandala,2009,Breaking Bad,tt1232246,18,8.9,13546.0
2,12,Phoenix,2009,Breaking Bad,tt1232247,19,9.3,15225.0
2,13,ABQ,2009,Breaking Bad,tt1232248,20,9.3,15223.0
3,1,No Más,2010,Breaking Bad,tt1528116,21,8.6,12966.0
3,2,Caballo sin Nombre,2010,Breaking Bad,tt1615186,22,8.7,12550.0
3,3,I.F.T.,2010,Breaking Bad,tt1615187,23,8.5,12595.0
3,4,Green Light,2010,Breaking Bad,tt1615554,24,8.3,12853.0
3,5,Más,2010,Breaking Bad,tt1615555,25,8.7,12213.0
3,6,Sunset,2010,Breaking Bad,tt1615556,26,9.3,14623.0
3,7,One Minute,2010,Breaking Bad,tt1615944,27,9.6,18083.0
3,8,I See You,2010,Breaking Bad,tt1615557,28,8.8,12657.0
3,9,Kafkaesque,2010,Breaking Bad,tt1615558,29,8.5,12557.0
3,10,Fly,2010,Breaking Bad,tt1615550,30,7.8,22064.0
3,11,Abiquiu,2010,Breaking Bad,tt1615551,31,8.5,12426.0
3,12,Half Measures,2010,Breaking Bad,tt1615552,32,9.5,17467.0
3,13,Full Measure,2010,Breaking Bad,tt1615553,33,9.7,19671.0
4,1,Box Cutter,2011,Breaking Bad,tt1683084,34,9.2,15736.0
4,2,Thirty-Eight Snub,2011,Breaking Bad,tt1683089,35,8.3,13046.0
4,3,Open House,2011,Breaking Bad,tt1683090,36,8.1,13167.0
4,4,Bullet Points,2011,Breaking Bad,tt1683091,37,8.7,12277.0
4,5,Shotgun,2011,Breaking Bad,tt1683092,38,8.7,12298.0
4,6,Cornered,2011,Breaking Bad,tt1683093,39,8.5,12458.0
4,7,Problem Dog,2011,Breaking Bad,tt1683094,40,8.9,12973.0
4,8,Hermanos,2011,Breaking Bad,tt1683095,41,9.3,14647.0
4,9,Bug,2011,Breaking Bad,tt1683096,42,8.9,13104.0
4,10,Salud,2011,Breaking Bad,tt1683085,43,9.6,18543.0
4,11,Crawl Space,2011,Breaking Bad,tt1683086,44,9.7,21429.0
4,12,End Times,2011,Breaking Bad,tt1683087,45,9.5,16584.0
4,13,Face Off,2011,Breaking Bad,tt1683088,46,9.9,39991.0
5,1,Live Free or Die,2012,Breaking Bad,tt2081647,47,9.3,18603.0
5,2,Madrigal,2012,Breaking Bad,tt2301457,48,8.9,15603.0
5,3,Hazard Pay,2012,Breaking Bad,tt2301459,49,8.9,15132.0
5,4,Fifty-One,2012,Breaking Bad,tt2301461,50,8.9,15234.0
5,5,Dead Freight,2012,Breaking Bad,tt2301463,51,9.7,22701.0
5,6,Buyout,2012,Breaking Bad,tt2301465,52,9.1,15594.0
5,7,Say My Name,2012,Breaking Bad,tt2301467,53,9.6,20012.0
5,8,Gliding Over All,2012,Breaking Bad,tt2301469,54,9.6,20750.0
5,9,Blood Money,2013,Breaking Bad,tt2301471,55,9.5,20196.0
5,10,Buried,2013,Breaking Bad,tt2301443,56,9.2,17493.0
5,11,Confessions,2013,Breaking Bad,tt2301445,57,9.6,21568.0
5,12,Rabid Dog,2013,Breaking Bad,tt2301447,58,9.2,18264.0
5,13,To'hajiilee,2013,Breaking Bad,tt2301449,59,9.8,30823.0
5,14,Ozymandias,2013,Breaking Bad,tt2301451,60,10.0,116292.0
5,15,Granite State,2013,Breaking Bad,tt2301453,61,9.7,31146.0
5,16,Felina,2013,Breaking Bad,tt2301455,62,9.9,83036.0
